"","V1"
"1",1.1789
"2",1.179
"3",1.1743
"4",1.1632
"5",1.1659
"6",1.1569
"7",1.152
"8",1.1744
"9",1.1653
"10",1.1626
"11",1.1612
"12",1.1616
"13",1.1575
"14",1.1572
"15",1.1567
"16",1.1584
"17",1.1582
"18",1.1529
"19",1.141
"20",1.1384
"21",1.1338
"22",1.1337
"23",1.1337
"24",1.1263
"25",1.1292
"26",1.1246
"27",1.1333
"28",1.1342
"29",1.1312
"30",1.1244
"31",1.1238
"32",1.1176
"33",1.1253
"34",1.1232
"35",1.1163
"36",1.0992
"37",1.0969
"38",1.1037
"39",1.1031
"40",1.1018
"41",1.0986
"42",1.0887
"43",1.0899
"44",1.0866
"45",1.0834
"46",1.0908
"47",1.0863
"48",1.0953
"49",1.0891
"50",1.0932
"51",1.0949
"52",1.0901
"53",1.0966
"54",1.1012
"55",1.0915
"56",1.0864
"57",1.0896
"58",1.0928
"59",1.0898
"60",1.0815
"61",1.0692
"62",1.0711
"63",1.0742
"64",1.0772
"65",1.0772
"66",1.0752
"67",1.0726
"68",1.0812
"69",1.0818
"70",1.0778
"71",1.0867
"72",1.0765
"73",1.0787
"74",1.0786
"75",1.0668
"76",1.0636
"77",1.0646
"78",1.0586
"79",1.0581
"80",1.0634
"81",1.0614
"82",1.063
"83",1.0666
"84",1.0604
"85",1.0597
"86",1.0589
"87",1.0564
"88",1.0667
"89",1.0799
"90",1.0786
"91",1.0735
"92",1.0732
"93",1.0645
"94",1.0622
"95",1.0676
"96",1.0685
"97",1.069
"98",1.0634
"99",1.0639
"100",1.0572
"101",1.0585
"102",1.0627
"103",1.0535
"104",1.0473
"105",1.0479
"106",1.0456
"107",1.0434
"108",1.0382
"109",1.0382
"110",1.0315
"111",1.0316
"112",1.0385
"113",1.0466
"114",1.0474
"115",1.0474
"116",1.0437
"117",1.0392
"118",1.0345
"119",1.034
"120",1.0388
"121",1.0339
"122",1.0313
"123",1.028
"124",1.0321
"125",1.0443
"126",1.0388
"127",1.0364
"128",1.0328
"129",1.0264
"130",1.0241
"131",1.0232
"132",1.0221
"133",1.0222
"134",1.0182
"135",1.0204
"136",1.0124
"137",1.0183
"138",1.0168
"139",1.0201
"140",1.0202
"141",1.0146
"142",1.041
"143",1.0462
"144",1.0499
"145",1.0496
"146",1.0698
"147",1.0627
"148",1.0603
"149",1.068
"150",1.0694
"151",1.0665
"152",1.0645
"153",1.0761
"154",1.0791
"155",1.074
"156",1.0705
"157",1.0737
"158",1.0668
"159",1.0638
"160",1.0667
"161",1.0553
"162",1.0527
"163",1.0517
"164",1.0517
"165",1.0667
"166",1.0606
"167",1.0512
"168",1.0433
"169",1.0452
"170",1.045
"171",1.0454
"172",1.0573
"173",1.0613
"174",1.0662
"175",1.0682
"176",1.0594
"177",1.0565
"178",1.0613
"179",1.0592
"180",1.052
"181",1.0342
"182",1.0362
"183",1.0369
"184",1.0372
"185",1.0397
"186",1.0406
"187",1.0388
"188",1.0509
"189",1.043
"190",1.0476
"191",1.0414
"192",1.0483
"193",1.0563
"194",1.0665
"195",1.0728
"196",1.0719
"197",1.0686
"198",1.0737
"199",1.0729
"200",1.0657
"201",1.0631
"202",1.0668
"203",1.0778
"204",1.0758
"205",1.0869
"206",1.0868
"207",1.0818
"208",1.0777
"209",1.0797
"210",1.0758
"211",1.0683
"212",1.0633
"213",1.0552
"214",1.0534
"215",1.0453
"216",1.0572
"217",1.0507
"218",1.0491
"219",1.0504
